/neo/                                    h1=86.64px(nh-mega.nm-kin)  body=12.2px(18%)  <13px:33%  min=11.5px  12.2:18% 47.7:17% 16.2:17% 18.4:16%  small: span(83) nh-credit(61) nh-eye.nm-fade(57) nh-eye.nh-eye--gate(43)
/neo/pm/                                 h1=56.316px(nw-title)  body=13px(80%)  <13px:4%  min=11px  13:80% 16:10% 17:4% 12:3%  small: nu-chip.is-sap(102) nw-sap(100) em(65) nw-credit(61)
/neo/pp-pi/                              h1=56.316px(nw-title)  body=13px(83%)  <13px:4%  min=10px  13:83% 16:8% 12:3% 17:3%  small: em(118) nw-credit(61) nw-go-why(60) nw-sap(58)
/neo/domain-model/                       h1=40px(ndm-h1)  body=13.4px(77%)  <13px:12%  min=10.9px  13.4:77% 10.9:6% 12.2:5% 16.3:4%  small: ndm-card-mod(483) ndm-card-en(403) ndm-credit(61) ndm-eye(32)
/neo/domain/pm-functional-locations/     h1=40px(ndm-h1)  body=14.1px(38%)  <13px:9%  min=12.5px  14.1:38% 13.4:16% 14.7:11% 12.5:8%  small: nx-sap(92) span(46) ndm-credit(36) ndm-step-more(23)
/neo/s4hana/                             h1=40px(ns4-h1)  body=14.1px(34%)  <13px:1%  min=11.2px  14.1:34% 13.4:24% 13.8:18% 13:8%  small: ns4-mods(85) ns4-eye(29)
/neo/s4-readiness/                       h1=40px(ns4-h1)  body=14.1px(36%)  <13px:10%  min=10.6px  14.1:36% 13.6:20% 13.4:19% 14:9%  small: dt(360) ns4-topic-en.nx-sap(228) ns4-eye(38) em(35)
/neo/migration-cockpit/                  h1=40px(ns4-h1)  body=13.8px(36%)  <13px:11%  min=11.2px  13.8:36% 13.6:20% 13.9:9% 13.4:8%  small: ns4-free(224) nx-sap(86) ns4-obj-en.nx-sap(86) a(60)
/neo/erd/                                h1=18px(ne-h1)  body=13px(70%)  <13px:30%  min=12px  13:70% 12:30%  small: ne-hint(71) ne-credit(61) em(41)
/neo/studio/                             h1=16px(nst-h1)  body=10.2px(54%)  <13px:59%  min=10.2px  10.2:54% 13:41% 11.5:5%  small: span(276) nst-sub(23)
/neo/tables/                             h1=36px(nx-h1)  body=13px(88%)  <13px:9%  min=11px  13:88% 11:7% 14:2% 12:2%  small: nu-chip.is-sap(590) nu-status.nu-status--g(64) span(45) nx-eyebrow(28)
/neo/tables/AFKO/                        h1=39.882px(nxb-name.nx-sap)  body=13px(74%)  <13px:24%  min=11px  13:74% 12:24% 18:2% 11:0%  small: nxb-dim(367) nxb-cta-note(166) nx-sap(158) p(120)
/neo/object/MARA/                        h1=40px(no-mega)  body=13px(61%)  <13px:13%  min=11px  13:61% 14:24% 12:12% 19:1%  small: em(208) nx-sap(84) nod-src-l(63) no-credit.nm-fade(61)
/neo/transactions/                       h1=36px(nx-h1)  body=13px(77%)  <13px:22%  min=11px  13:77% 11:21% 12:1% 14:1%  small: nu-chip(3085) nu-status.nu-status--g(84) nx-eyebrow(37)
/neo/transactions/IP30/                  h1=39.882px(nxt-code.nx-sap)  body=13px(66%)  <13px:13%  min=11px  13:66% 14:20% 12:9% 11:4%  small: p(167) nxt-src(97) nu-chip(69) nu-chip.is-sap(49)
/neo/bapi/                               h1=36px(nx-h1)  body=13px(97%)  <13px:0%  min=12px  13:97% 14:2% 12:0%  small: nx-eyebrow(34) nxr-hint(29)
/neo/bapi/BAPI_ALM_CONF_CREATE/          h1=39.882px(nxt-code.nx-sap)  body=13px(58%)  <13px:26%  min=11px  13:58% 12:24% 14:14% 18:3%  small: nxt-l(284) p(179) nxt-tbl-note(92) nxt-src(78)
/neo/idoc/                               h1=36px(nx-h1)  body=13px(55%)  <13px:24%  min=12px  13:55% 12:24% 14:21%  small: nxr-st-cause(246) nxt-tbl-note(118) span(44) nxr-hint(29)
/neo/cds/                                h1=36px(nx-h1)  body=13px(89%)  <13px:4%  min=12px  13:89% 14:6% 12:4%  small: span(67) nxr-hint(29) nx-eyebrow(29) nu-status.nu-status--g(20)
/neo/fiori-apps/                         h1=36px(nx-h1)  body=13px(94%)  <13px:3%  min=12px  13:94% 14:4% 12:3%  small: span(64) nx-eyebrow(34) nxr-hint(29)
/neo/enhancements/                       h1=36px(nx-h1)  body=13px(93%)  <13px:2%  min=12px  13:93% 14:4% 12:2%  small: span(44) nx-eyebrow(34) nxr-hint(29)
/neo/books/                              h1=71.33px(nb-mega.nm-kin)  body=13px(63%)  <13px:26%  min=12px  13:63% 12:26% 17:12%  small: nb-shelf-n.nb-shelf-n2(142) nb-credit(61) nb-card-t2.nb-sap(56) nb-eye(34)
/neo/read/book2/                         h1=31.793px(nr-ch-t)  body=15px(60%)  <13px:1%  min=10px  15:60% 16:36% 16.6:2% 14:1%  small: nr-rtoc-st(303) p(127) nr-crumb-l(36) nr-crumb-now(31)
/neo/ai/                                 h1=24px(nxq-h1)  body=13px(58%)  <13px:23%  min=12px  13:58% 15.2:19% 12.5:12% 12:11%  small: nxq-hint(50) nxq-w-scope-m(35) nxq-qa-t(21)
/neo/chat/                               h1=24px(nxq-h1)  body=13px(78%)  <13px:22%  min=12px  13:78% 12:22%  small: span(126) nxq-eyebrow(47) nxq-hint(37)
/neo/knowledge/                          h1=24px(nx-h1)  body=13px(77%)  <13px:17%  min=11px  13:77% 12:12% 11:5% 14:3%  small: nu-status(240) p(223) nu-chip(192) span(61)
/neo/academy/                            h1=24px(nx-h1)  body=13px(72%)  <13px:17%  min=12px  13:72% 12:17% 14:11%  small: p(154)
/neo/certification/                      h1=24px(nx-h1)  body=13px(54%)  <13px:36%  min=11px  13:54% 12:22% 14:10% 11:8%  small: span(184) nxv-l(144) nu-chip(144) p(112)
/neo/incidents/cogi-stuck/               h1=34px(nxv-h1)  body=13px(65%)  <13px:27%  min=12px  13:65% 12:27% 14:8%  small: span(111) p(63) nx-eyebrow(36) nx-sap(23)
/neo/centers/                            h1=40px(nct-h1)  body=13.6px(62%)  <13px:7%  min=12.5px  13.6:62% 15.5:15% 13:14% 12.5:7%  small: nct-fam-en(69)
