"ID","TABLE","FIELD","OLD_VALUE","NEO_VALUE","STATUS","FLAGS","NOTES"
"ADMI_RUN.RUNID","ADMI_RUN","RUNID","PM#12:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"ADMI_RUN.OBJECT","ADMI_RUN","OBJECT","PM#12:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"ADMI_RUN.GENER_DATE","ADMI_RUN","GENER_DATE","PM#12:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"ADMI_RUN.STATUS","ADMI_RUN","STATUS","PM#12:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"AFFH.AUFPL","AFFH","AUFPL","PP-PI#6:key=PK/FK|dt=NUMC|len=10","key=PK/FK|dt=NUMC|len=10|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=3 neo=3; key=""PK/FK"": OLD /object/AFFH lists it as PK, /neo/tables/AFFH lists it as PK+FK, /neo/object/AFFH lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"AFFH.APLZL","AFFH","APLZL","PP-PI#6:key=PK|dt=NUMC|len=8","key=PK|dt=NUMC|len=8|mods=PP-PI","EXACT","—","table_fields old_union=3 neo=3"
"AFFH.FHMNR","AFFH","FHMNR","PP-PI#6:key=FK|dt=CHAR|len=18","key=FK|dt=CHAR|len=18|mods=PP-PI","EXACT","—","table_fields old_union=3 neo=3"
"AFFL.AUFPL","AFFL","AUFPL","PP-PI#6:key=PK/FK|dt=NUMC|len=10","key=PK/FK|dt=NUMC|len=10|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/AFFL lists it as PK, /neo/tables/AFFL lists it as PK+FK, /neo/object/AFFL lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"AFFL.APLFL","AFFL","APLFL","PP-PI#6:key=PK|dt=CHAR|len=6","key=PK|dt=CHAR|len=6|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"AFFL.PLNFL","AFFL","PLNFL","PP-PI#6:key=-|dt=CHAR|len=6","key=-|dt=CHAR|len=6|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
