"ID","MODULE","ER_ROW","CHILD_FK","PARENT_PK","SHEET_LABEL_COL1","OLD_VALUE","NEO_VALUE","STATUS","NOTES"
"PM:ER#1","PM","1","IFLOS","IFLOT","IFLOS","IFLOS(FK)->IFLOT(PK) card=1:1 join=IFLOS.TPLNR = IFLOT.TPLNR","edge IFLOT>IFLOS kind=1-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/IFLOT/ + /neo/tables/IFLOS/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#2","PM","2","IFLOT","IFLOT","IFLOT","IFLOT(FK)->IFLOT(PK) card=N:1 join=IFLOT.TPLMA = IFLOT.TPLNR","—","MISSING","GENUINE SELF-JOIN (functional-location hierarchy, IFLOT.TPLMA -> IFLOT.TPLNR). It IS present in data/sapData.ts. OLD /object/IFLOT/ renders it — kgraph('IFLOT').upstream contains IFLOT (verified). NEW: model.ts edges() skips `r.table === table.tableName` and danglingFor() skips it too, so NO NEO surface renders it (not an edge, not a dangling record). This is an OLD -> NEW rendering regression."
"PM:ER#3","PM","3","IFLOT","JSTO","IFLOT","IFLOT(FK)->JSTO(PK) card=1:1 join=IFLOT.OBJNR = JSTO.OBJNR","edge JSTO>IFLOT kind=1-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/JSTO/ + /neo/tables/IFLOT/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#4","PM","4","ILOA","IFLOT","ILOA","ILOA(FK)->IFLOT(PK) card=N:1 join=ILOA.TPLNR = IFLOT.TPLNR","edge IFLOT>ILOA kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/IFLOT/ + /neo/tables/ILOA/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#5","PM","5","ILOA","CRHD","ILOA","ILOA(FK)->CRHD(PK) card=N:1 join=ILOA.GEWRK = CRHD.OBJID","edge CRHD>ILOA kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/CRHD/ + /neo/tables/ILOA/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#6","PM","6","CRTX","CRHD","CRTX","CRTX(FK)->CRHD(PK) card=N:1 join=CRTX.OBJID = CRHD.OBJID","edge CRHD>CRTX kind=n-1 mods=PM+PP-PI says=2 contested=false","TRANSFORMED","DUPLICATE: the ER map states 2 rows for the same CRHD>CRTX pair; NEO collapses them into ONE edge with 2 says; rendered: /neo/tables/CRHD/ + /neo/tables/CRTX/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#7","PM","7","EQKT","EQUI","EQKT","EQKT(FK)->EQUI(PK) card=N:1 join=EQKT.EQUNR = EQUI.EQUNR","edge EQUI>EQKT kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/EQUI/ + /neo/tables/EQKT/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#8","PM","8","EQUZ","EQUI","EQUZ","EQUZ(FK)->EQUI(PK) card=N:1 join=EQUZ.EQUNR = EQUI.EQUNR","edge EQUI>EQUZ kind=n-1 mods=PM says=2 contested=false","TRANSFORMED","DUPLICATE: the ER map states 2 rows for the same EQUI>EQUZ pair; NEO collapses them into ONE edge with 2 says; rendered: /neo/tables/EQUI/ + /neo/tables/EQUZ/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#9","PM","9","EQUZ","EQUI","EQUZ","EQUZ(FK)->EQUI(PK) card=N:1 join=EQUZ.HEQUI = EQUI.EQUNR","edge EQUI>EQUZ kind=n-1 mods=PM says=2 contested=false","TRANSFORMED","DUPLICATE: the ER map states 2 rows for the same EQUI>EQUZ pair; NEO collapses them into ONE edge with 2 says; rendered: /neo/tables/EQUI/ + /neo/tables/EQUZ/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#10","PM","10","EQUZ","ILOA","EQUZ","EQUZ(FK)->ILOA(PK) card=N:1 join=EQUZ.ILOAN = ILOA.ILOAN","edge ILOA>EQUZ kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/ILOA/ + /neo/tables/EQUZ/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#11","PM","11","EQUI","JSTO","EQUI","EQUI(FK)->JSTO(PK) card=1:1 join=EQUI.OBJNR = JSTO.OBJNR","edge JSTO>EQUI kind=1-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/JSTO/ + /neo/tables/EQUI/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#12","PM","12","OBJK","EQUI","OBJK","OBJK(FK)->EQUI(PK) card=N:1 join=OBJK.EQUNR = EQUI.EQUNR","edge EQUI>OBJK kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/EQUI/ + /neo/tables/OBJK/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#13","PM","13","STPO","STKO","STPO","STPO(FK)->STKO(PK) card=N:1 join=STPO.STLNR = STKO.STLNR","edge STKO>STPO kind=n-1 mods=PM+PP-PI says=2 contested=false","TRANSFORMED","DUPLICATE: the ER map states 2 rows for the same STKO>STPO pair; NEO collapses them into ONE edge with 2 says; rendered: /neo/tables/STKO/ + /neo/tables/STPO/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#14","PM","14","MAST","STKO","MAST","MAST(FK)->STKO(PK) card=N:1 join=MAST.STLNR = STKO.STLNR","edge STKO>MAST kind=n-1 mods=PM says=1 contested=true","TRANSFORMED","CONTESTED: the opposite edge MAST>STKO is also recorded; NEO keeps both and flags it; rendered: /neo/tables/STKO/ + /neo/tables/MAST/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#15","PM","15","EQST","STKO","EQST","EQST(FK)->STKO(PK) card=N:1 join=EQST.STLNR = STKO.STLNR","edge STKO>EQST kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/STKO/ + /neo/tables/EQST/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#16","PM","16","EQST","EQUI","EQST","EQST(FK)->EQUI(PK) card=N:1 join=EQST.EQUNR = EQUI.EQUNR","edge EQUI>EQST kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/EQUI/ + /neo/tables/EQST/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#17","PM","17","TPST","STKO","TPST","TPST(FK)->STKO(PK) card=N:1 join=TPST.STLNR = STKO.STLNR","edge STKO>TPST kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/STKO/ + /neo/tables/TPST/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#18","PM","18","TPST","IFLOT","TPST","TPST(FK)->IFLOT(PK) card=N:1 join=TPST.TPLNR = IFLOT.TPLNR","edge IFLOT>TPST kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/IFLOT/ + /neo/tables/TPST/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#19","PM","19","IMRG","IMPTT","IMRG","IMRG(FK)->IMPTT(PK) card=N:1 join=IMRG.POINT = IMPTT.POINT","edge IMPTT>IMRG kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/IMPTT/ + /neo/tables/IMRG/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#20","PM","20","QPCD","QPGR","QPCD","QPCD(FK)->QPGR(PK) card=N:1 join=QPCD.CODEGRUPPE = QPGR.CODEGRUPPE","edge QPGR>QPCD kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/QPGR/ + /neo/tables/QPCD/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#21","PM","21","T352B","QPGR","T352B","T352B(FK)->QPGR(PK) card=N:1 join=T352B.CODEGRUPPE = QPGR.CODEGRUPPE","edge QPGR>T352B kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/QPGR/ + /neo/tables/T352B/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#22","PM","22","QMFE","QMEL","QMFE","QMFE(FK)->QMEL(PK) card=N:1 join=QMFE.QMNUM = QMEL.QMNUM","edge QMEL>QMFE kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/QMEL/ + /neo/tables/QMFE/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#23","PM","23","QMUR","QMFE","QMUR","QMUR(FK)->QMFE(PK) card=N:1 join=QMUR.QMNUM = QMFE.QMNUM","edge QMFE>QMUR kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/QMFE/ + /neo/tables/QMUR/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#24","PM","24","QMMA","QMEL","QMMA","QMMA(FK)->QMEL(PK) card=N:1 join=QMMA.QMNUM = QMEL.QMNUM","edge QMEL>QMMA kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/QMEL/ + /neo/tables/QMMA/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
"PM:ER#25","PM","25","QMSM","QMEL","QMSM","QMSM(FK)->QMEL(PK) card=N:1 join=QMSM.QMNUM = QMEL.QMNUM","edge QMEL>QMSM kind=n-1 mods=PM says=1 contested=false","EXACT","rendered: /neo/tables/QMEL/ + /neo/tables/QMSM/ + /neo/object/* = yes; /neo/erd/ = yes; /neo/studio = yes"
