scope,book,chapter,id,dimension,source,served,status,severity,evidence
chapter,book1,1,,sections,14,14,EXACT,P3,prose shard holds 14 of 14 served sections
chapter,book1,1,,figures,11,11,EXACT,P3,"book1-figures.json[""1""] vs public/books/book1/fig1.json"
chapter,book1,2,,sections,8,8,EXACT,P3,prose shard holds 8 of 8 served sections
chapter,book1,2,,figures,25,25,EXACT,P3,"book1-figures.json[""2""] vs public/books/book1/fig2.json"
chapter,book1,3,,sections,13,13,EXACT,P3,prose shard holds 13 of 13 served sections
chapter,book1,3,,figures,44,44,EXACT,P3,"book1-figures.json[""3""] vs public/books/book1/fig3.json"
chapter,book1,4,,sections,13,13,EXACT,P3,prose shard holds 13 of 13 served sections
chapter,book1,4,,figures,74,74,EXACT,P3,"book1-figures.json[""4""] vs public/books/book1/fig4.json"
chapter,book1,5,,sections,20,20,EXACT,P3,prose shard holds 20 of 20 served sections
chapter,book1,5,,figures,129,129,EXACT,P3,"book1-figures.json[""5""] vs public/books/book1/fig5.json"
chapter,book1,6,,sections,3,3,EXACT,P3,prose shard holds 3 of 3 served sections
chapter,book1,6,,figures,10,10,EXACT,P3,"book1-figures.json[""6""] vs public/books/book1/fig6.json"
chapter,book1,7,,sections,20,20,EXACT,P3,prose shard holds 20 of 20 served sections
chapter,book1,7,,figures,131,131,EXACT,P3,"book1-figures.json[""7""] vs public/books/book1/fig7.json"
chapter,book1,8,,sections,25,25,EXACT,P3,prose shard holds 25 of 25 served sections
chapter,book1,8,,figures,45,45,EXACT,P3,"book1-figures.json[""8""] vs public/books/book1/fig8.json"
chapter,book1,9,,sections,24,24,EXACT,P3,prose shard holds 24 of 24 served sections
chapter,book1,9,,figures,52,52,EXACT,P3,"book1-figures.json[""9""] vs public/books/book1/fig9.json"
book,book1,,,chapters,9,9,EXACT,P3,data/library/book1-full.json + book1/manifest.json + book1/raw/ vs data/books/book1.json
book,book1,,,sections,140,140,EXACT,P3,0 source ids absent from served
book,book1,,,figures,521,521,EXACT,P3,book1-figures.json vs public/books/book1/fig*.json; every referenced asset exists under public/assets/library/book1/figures/
book,book1,,,bilingual,140,140,EXACT,P3,every source section with BOTH en and Hebrew he still serves both in public/books/book1/ch*.json
chapter,book2,1,,sections,9,9,EXACT,P3,prose shard holds 9 of 9 served sections
chapter,book2,2,,sections,13,13,EXACT,P3,prose shard holds 13 of 13 served sections
chapter,book2,2,,figures,9,9,EXACT,P3,"book2-figures.json[""2""] vs public/books/book2/fig2.json"
chapter,book2,3,,sections,47,47,EXACT,P3,prose shard holds 47 of 47 served sections
chapter,book2,3,,figures,48,48,EXACT,P3,"book2-figures.json[""3""] vs public/books/book2/fig3.json"
chapter,book2,4,,sections,31,31,EXACT,P3,prose shard holds 31 of 31 served sections
chapter,book2,4,,figures,33,33,EXACT,P3,"book2-figures.json[""4""] vs public/books/book2/fig4.json"
chapter,book2,5,,sections,27,27,EXACT,P3,prose shard holds 27 of 27 served sections
chapter,book2,5,,figures,23,23,EXACT,P3,"book2-figures.json[""5""] vs public/books/book2/fig5.json"
chapter,book2,6,,sections,45,45,EXACT,P3,prose shard holds 45 of 45 served sections
chapter,book2,6,,figures,76,76,EXACT,P3,"book2-figures.json[""6""] vs public/books/book2/fig6.json"
chapter,book2,7,,sections,34,34,EXACT,P3,prose shard holds 34 of 34 served sections
chapter,book2,7,,figures,58,58,EXACT,P3,"book2-figures.json[""7""] vs public/books/book2/fig7.json"
chapter,book2,8,,sections,42,42,EXACT,P3,prose shard holds 42 of 42 served sections
chapter,book2,8,,figures,42,42,EXACT,P3,"book2-figures.json[""8""] vs public/books/book2/fig8.json"
chapter,book2,9,,sections,33,33,EXACT,P3,prose shard holds 33 of 33 served sections
chapter,book2,9,,figures,60,60,EXACT,P3,"book2-figures.json[""9""] vs public/books/book2/fig9.json"
chapter,book2,10,,sections,46,46,EXACT,P3,prose shard holds 46 of 46 served sections
chapter,book2,10,,figures,96,96,EXACT,P3,"book2-figures.json[""10""] vs public/books/book2/fig10.json"
chapter,book2,11,,sections,39,39,EXACT,P3,prose shard holds 39 of 39 served sections
chapter,book2,11,,figures,56,56,EXACT,P3,"book2-figures.json[""11""] vs public/books/book2/fig11.json"
chapter,book2,12,,sections,36,36,EXACT,P3,prose shard holds 36 of 36 served sections
chapter,book2,12,,figures,20,20,EXACT,P3,"book2-figures.json[""12""] vs public/books/book2/fig12.json"
chapter,book2,13,,sections,70,70,EXACT,P3,prose shard holds 70 of 70 served sections
chapter,book2,13,,figures,71,71,EXACT,P3,"book2-figures.json[""13""] vs public/books/book2/fig13.json"
chapter,book2,14,,sections,18,18,EXACT,P3,prose shard holds 18 of 18 served sections
chapter,book2,14,,figures,36,36,EXACT,P3,"book2-figures.json[""14""] vs public/books/book2/fig14.json"
chapter,book2,15,,sections,6,6,EXACT,P3,prose shard holds 6 of 6 served sections
chapter,book2,15,,figures,233,233,EXACT,P3,"book2-figures.json[""15""] vs public/books/book2/fig15.json"
book,book2,,,chapters,15,15,EXACT,P3,data/library/book2-full.json + book2/manifest.json + book2/raw/ vs data/books/book2.json
book,book2,,,sections,496,496,EXACT,P3,0 source ids absent from served
book,book2,,,figures,861,861,EXACT,P3,book2-figures.json vs public/books/book2/fig*.json; every referenced asset exists under public/assets/library/book2/figures/
book,book2,,,bilingual,496,496,EXACT,P3,every source section with BOTH en and Hebrew he still serves both in public/books/book2/ch*.json
chapter,book3,1,,sections,14,14,EXACT,P3,prose shard holds 14 of 14 served sections
chapter,book3,2,,sections,23,23,EXACT,P3,prose shard holds 23 of 23 served sections
chapter,book3,2,,figures,1,1,EXACT,P3,"book3-figures.json[""2""] vs public/books/book3/fig2.json"
chapter,book3,3,,sections,10,10,EXACT,P3,prose shard holds 10 of 10 served sections
chapter,book3,3,,figures,15,15,EXACT,P3,"book3-figures.json[""3""] vs public/books/book3/fig3.json"
chapter,book3,4,,sections,17,17,EXACT,P3,prose shard holds 17 of 17 served sections
chapter,book3,4,,figures,23,23,EXACT,P3,"book3-figures.json[""4""] vs public/books/book3/fig4.json"
chapter,book3,5,,sections,21,21,EXACT,P3,prose shard holds 21 of 21 served sections
chapter,book3,5,,figures,30,30,EXACT,P3,"book3-figures.json[""5""] vs public/books/book3/fig5.json"
chapter,book3,6,,sections,35,35,EXACT,P3,prose shard holds 35 of 35 served sections
chapter,book3,6,,figures,37,37,EXACT,P3,"book3-figures.json[""6""] vs public/books/book3/fig6.json"
chapter,book3,7,,sections,34,34,EXACT,P3,prose shard holds 34 of 34 served sections
chapter,book3,7,,figures,85,85,EXACT,P3,"book3-figures.json[""7""] vs public/books/book3/fig7.json"
chapter,book3,8,,sections,28,28,EXACT,P3,prose shard holds 28 of 28 served sections
chapter,book3,8,,figures,34,34,EXACT,P3,"book3-figures.json[""8""] vs public/books/book3/fig8.json"
chapter,book3,9,,sections,24,24,EXACT,P3,prose shard holds 24 of 24 served sections
chapter,book3,9,,figures,24,24,EXACT,P3,"book3-figures.json[""9""] vs public/books/book3/fig9.json"
chapter,book3,10,,sections,35,35,EXACT,P3,prose shard holds 35 of 35 served sections
chapter,book3,10,,figures,24,24,EXACT,P3,"book3-figures.json[""10""] vs public/books/book3/fig10.json"
chapter,book3,11,,sections,18,18,EXACT,P3,prose shard holds 18 of 18 served sections
chapter,book3,11,,figures,31,31,EXACT,P3,"book3-figures.json[""11""] vs public/books/book3/fig11.json"
chapter,book3,12,,sections,33,33,EXACT,P3,prose shard holds 33 of 33 served sections
chapter,book3,12,,figures,72,72,EXACT,P3,"book3-figures.json[""12""] vs public/books/book3/fig12.json"
chapter,book3,13,,sections,21,21,EXACT,P3,prose shard holds 21 of 21 served sections
chapter,book3,13,,figures,23,23,EXACT,P3,"book3-figures.json[""13""] vs public/books/book3/fig13.json"
chapter,book3,14,,sections,14,14,EXACT,P3,prose shard holds 14 of 14 served sections
chapter,book3,14,,figures,25,25,EXACT,P3,"book3-figures.json[""14""] vs public/books/book3/fig14.json"
chapter,book3,15,,sections,16,16,EXACT,P3,prose shard holds 16 of 16 served sections
chapter,book3,15,,figures,16,16,EXACT,P3,"book3-figures.json[""15""] vs public/books/book3/fig15.json"
chapter,book3,16,,sections,18,18,EXACT,P3,prose shard holds 18 of 18 served sections
chapter,book3,16,,figures,35,35,EXACT,P3,"book3-figures.json[""16""] vs public/books/book3/fig16.json"
chapter,book3,17,,sections,11,11,EXACT,P3,prose shard holds 11 of 11 served sections
chapter,book3,17,,figures,20,20,EXACT,P3,"book3-figures.json[""17""] vs public/books/book3/fig17.json"
